№,ИНН,Наименование организации,Полное наименование организации,Статус СПАРК,Статус внутренний,Статус ИТОГ,Дата добавления в реестр,Юридический адрес,Адрес производства,Адрес дополнительной площадки,latitude,longitude,Основная отрасль,Подотрасль (Основная),Дополнительная отрасль,Подотрасль (Дополнительная),Отраслевые презентации,Основной ОКВЭД (СПАРК),Вид деятельности по основному ОКВЭД (СПАРК),Производственный ОКВЭД,Вид деятельности по производственному ОКВЭД,Общие сведения об организации,Размер предприятия (итог),Размер предприятия (итог) 2022,Размер предприятия (по численности),Размер предприятия (по численности) 2022,Размер предприятия (по выручке),Размер предприятия (по выручке) 2022,Дата регистрации,Руководитель,Головная организация,ИНН головной организации,Вид отношения головной организации,Контактные данные руководства,Почта руководства,Контакт сотрудника организации,Номер телефона,Контактные данные ответственного по ЧС,Сайт,Электронная почта,Данные о мерах поддержки,Наличие особого статуса,Площадка итог,Получена поддержка от г. Москвы,Системообразующее предприятие,Статус МСП,То самое,Финансово-экономические показатели,"Выручка предприятия, тыс. руб. 2017","Выручка предприятия, тыс. руб. 2018","Выручка предприятия, тыс. руб. 2019","Выручка предприятия, тыс. руб. 2020","Выручка предприятия, тыс. руб. 2021","Выручка предприятия, тыс. руб. 2022","Выручка предприятия, тыс. руб. 2023","Чистая прибыль (убыток),тыс. руб. 2017","Чистая прибыль (убыток),тыс. руб. 2018","Чистая прибыль (убыток),тыс. руб. 2019","Чистая прибыль (убыток),тыс. руб. 2020","Чистая прибыль (убыток),тыс. руб. 2021","Чистая прибыль (убыток),тыс. руб. 2022","Чистая прибыль (убыток),тыс. руб. 2023","Среднесписочная численность персонала (всего по компании), чел 2017","Среднесписочная численность персонала (всего по компании), чел 2018","Среднесписочная численность персонала (всего по компании), чел 2019","Среднесписочная численность персонала (всего по компании), чел 2020","Среднесписочная численность персонала (всего по компании), чел 2021","Среднесписочная численность персонала (всего по компании), чел 2022","Среднесписочная численность персонала (всего по компании), чел 2023","Среднесписочная численность персонала, работающего в Москве, чел 2017","Среднесписочная численность персонала, работающего в Москве, чел 2018","Среднесписочная численность персонала, работающего в Москве, чел 2019","Среднесписочная численность персонала, работающего в Москве, чел 2020","Среднесписочная численность персонала, работающего в Москве, чел 2021","Среднесписочная численность персонала, работающего в Москве, чел 2022","Среднесписочная численность персонала, работающего в Москве, чел 2023","Фонд оплаты труда всех сотрудников организации, тыс. руб 2017","Фонд оплаты труда всех сотрудников организации, тыс. руб 2018","Фонд оплаты труда всех сотрудников организации, тыс. руб 2019","Фонд оплаты труда всех сотрудников организации, тыс. руб 2020","Фонд оплаты труда всех сотрудников организации, тыс. руб 2021","Фонд оплаты труда всех сотрудников организации, тыс. руб 2022","Фонд оплаты труда всех сотрудников организации, тыс. руб 2023","Средняя з.п. всех сотрудников организации,  тыс.руб. 2017","Средняя з.п. всех сотрудников организации,  тыс.руб. 2018","Средняя з.п. всех сотрудников организации,  тыс.руб. 2019","Средняя з.п. всех сотрудников организации,  тыс.руб. 2020","Средняя з.п. всех сотрудников организации,  тыс.руб. 2021","Средняя з.п. всех сотрудников организации,  тыс.руб. 2022","Средняя з.п. всех сотрудников организации,  тыс.руб. 2023","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2017","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2018","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2019","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2020","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2022","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2023","Налог на прибыль, тыс.руб. 2017","Налог на прибыль, тыс.руб. 2018","Налог на прибыль, тыс.руб. 2019","Налог на прибыль, тыс.руб. 2020","Налог на прибыль, тыс.руб. 2021","Налог на прибыль, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2023"
24,5508149905,ООО «ПривлекатьПром»,Общество с ограниченной ответственностью «ПривлекатьПром»»,Ликвидирована,Активна,В реестре,2024-04-03,"д. Урюпинск, ш. 9 мая, д. 167 стр. 6/5, 515319","д. Урюпинск, ш. 9 мая, д. 167 стр. 6/5, 515319","г. Нижний Тагил, наб. Ягодная, д. 8/3 стр. 81, 430305",55.734617,37.658044,Деревообработка,Сборка оборудования,Ремонт,Транспортировка,Есть,20.13,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ПривлекатьПром» — промышленное предприятие, действующее с 2022 года.",Малое,Малое,Среднее,Крупное,Крупное,Крупное,2022-10-24,Антонова Януарий Фокич,ЗАО «Евсеев-Лапина»,1888856289,Холдинг,+7 (460) 953-96-21,agge_2013@zaharova.org,Максимова Александра Георгиевна,+7 (460) 953-96-21,Анисим Игнатович Дорофеев,https://rao.info,agge_2013@zaharova.org,Получала грант,Да,Подмосковье,Да,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,4752669,4852532,4771129,4495125,4809999,4192211,4436826,640852,571863,486371,468942,542117,422067,278931,257,228,243,254,228,197,217,239,221,222,186,167,175,169,5155709,4560751,4468433,4259341,4225890,4735686,4442921,2408,2641,2416,2725,2531,2501,2266,221418,261621,227950,242435,232351,257983,260795,589241,414831,362350,500163,509391,453860,675112
25,9831336766,ООО «ЯркоПром»,Общество с ограниченной ответственностью «ЯркоПром»»,Ликвидирована,Заморожена,Не в реестре,2018-04-07,"с. Шелагонцы, пр. Ольховый, д. 6/8 стр. 759, 016582","с. Шелагонцы, пр. Ольховый, д. 6/8 стр. 759, 016582","г. Грозный, алл. Осипенко, д. 7, 927557",55.746734,37.570911,Металлургия,Производство деталей,Переработка,Сервис,Есть,25.62,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ЯркоПром» — промышленное предприятие, действующее с 2016 года.",Крупное,Крупное,Крупное,Крупное,Среднее,Крупное,2016-02-28,Ефремова Модест Феодосьевич,ЗАО «Егоров»,9237880732,Холдинг,+7 616 928 45 11,dorofe_77@oao.edu,Афанасьева Лариса Игоревна,+7 616 928 45 11,Викентий Адрианович Зиновьев,https://ooo.info,dorofe_77@oao.edu,Не получала,Нет,Подмосковье,Нет,Нет,Микро,Да,Стабильный рост выручки и численности персонала,617103,648322,678405,633705,566003,615249,633986,54568,87244,83830,58588,123188,93157,34218,31,35,34,40,35,33,38,33,31,35,36,37,36,28,621631,674435,666305,703256,653781,631974,760717,310,369,369,414,359,434,427,31090,35589,37593,33641,40222,38960,32993,84523,84487,97685,51283,99448,49503,83715
26,8218541928,ООО «ВздрогнутьПром»,Общество с ограниченной ответственностью «ВздрогнутьПром»»,Ликвидирована,Активна,В реестре,2021-02-20,"ст. Ербогачен, бул. Локомотивный, д. 9 стр. 41, 370589","ст. Ербогачен, бул. Локомотивный, д. 9 стр. 41, 370589","д. Верхнее Пенжино, наб. Розы Люксембург, д. 9/7, 912517",55.739323,37.546894,Деревообработка,Производство деталей,Ремонт,Транспортировка,Нет,16.1,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ВздрогнутьПром» — промышленное предприятие, действующее с 2023 года.",Крупное,Среднее,Малое,Крупное,Крупное,Среднее,2023-09-19,Лебедева Спартак Терентьевич,"ООО «Павлова, Пахомов и Сидоров»",5237588145,Филиал,+7 (121) 727-1551,ksenija73@drozdov.info,Таисия Эдуардовна Королева,+7 (121) 727-1551,Василиса Оскаровна Овчинникова,https://frolov.edu,ksenija73@drozdov.info,Получала субсидию,Да,Москва,Нет,Нет,Малое,Да,Стабильный рост выручки и численности персонала,2644647,2979780,2699429,2868654,2901307,2943729,2425681,350546,208687,274534,173389,136951,162671,297737,136,130,130,138,125,123,107,121,110,117,126,108,124,116,2653898,2687634,2674033,2535010,2772146,2327255,2263790,1175,1294,1168,1143,1134,1121,1256,120861,140105,122879,150048,129979,133291,116249,393379,135785,145606,142344,154095,172872,340200
27,6542943838,ООО «ИзредкаПром»,Общество с ограниченной ответственностью «ИзредкаПром»»,Ликвидирована,Заморожена,В реестре,2022-02-09,"п. Якутск, пер. Энтузиастов, д. 101 стр. 4, 907844","п. Якутск, пер. Энтузиастов, д. 101 стр. 4, 907844","к. Серафимович, бул. Таежный, д. 77, 735925",55.765047,37.655927,Текстильная промышленность,Производство деталей,Ремонт,Ремонт деталей,Есть,13.2,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ИзредкаПром» — промышленное предприятие, действующее с 2008 года.",Крупное,Среднее,Среднее,Среднее,Малое,Среднее,2008-03-07,Мишина Аполлон Яковлевна,Государственная транспортная лизинговая компания,5694190173,Филиал,8 (414) 384-2498,sorokinljubomir@makdonaldc.biz,Самойлова Любовь Ниловна,8 (414) 384-2498,Фомин Софон Борисович,https://zao.biz,sorokinljubomir@makdonaldc.biz,Не получала,Да,Подмосковье,Нет,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,2952336,2772741,2458311,2794800,2925521,3025106,2800300,328907,357284,277213,162445,334687,330516,354709,145,130,149,130,144,146,156,124,115,125,123,123,115,116,2847890,2649864,2433878,2568542,2402664,2180897,2713055,1277,1220,1215,1450,1682,1547,1618,149300,130643,132170,137581,141143,119760,129879,251110,246342,169066,398239,279124,328426,328990
28,8546898960,ООО «СравнениеПром»,Общество с ограниченной ответственностью «СравнениеПром»»,Ликвидирована,Проверка,В реестре,2024-03-10,"с. Териберка, алл. Рыбацкая, д. 1 к. 847, 801624","с. Териберка, алл. Рыбацкая, д. 1 к. 847, 801624","к. Балтийск, ул. Омская, д. 9 к. 2, 878499",55.74958,37.708942,Машиностроение,Сборка оборудования,Ремонт,Сервис,Есть,16.1,Производство промышленной продукции,10.51,Производство оборудования,"ООО «СравнениеПром» — промышленное предприятие, действующее с 2021 года.",Малое,Среднее,Малое,Крупное,Малое,Малое,2021-12-04,Трофимов Рубен Валерьевич,АО «Турова»,4501446994,Дочерняя,+7 (595) 327-87-74,kalininamarija@djachkov.edu,Давыдов Мартьян Иосифович,+7 (595) 327-87-74,Евпраксия Юльевна Панфилова,https://npo.ru,kalininamarija@djachkov.edu,Получала грант,Нет,Другой регион,Нет,Нет,Малое,Нет,Стабильный рост выручки и численности персонала,1124573,1191987,1139319,1182389,1261615,1289045,1336709,144328,83632,151638,128317,131521,151484,134411,61,62,57,62,56,56,47,53,66,54,59,60,54,52,1214893,1152238,1200775,1236738,1183669,1018042,1076974,580,560,520,530,586,608,588,60898,51086,48851,51607,50079,51408,55259,83247,89158,150740,80561,135524,143318,131595
29,5110230967,ООО «ОбидаПром»,Общество с ограниченной ответственностью «ОбидаПром»»,В процессе ликвидации,Активна,Не в реестре,2019-04-05,"с. Анадырь, наб. Рябиновая, д. 5/1 к. 5/4, 972896","с. Анадырь, наб. Рябиновая, д. 5/1 к. 5/4, 972896","д. Выборг, ул. Гончарова, д. 7, 636897",55.68765,37.672604,Деревообработка,Комплектующие,Переработка,Транспортировка,Есть,20.13,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ОбидаПром» — промышленное предприятие, действующее с 2023 года.",Крупное,Малое,Среднее,Среднее,Среднее,Среднее,2023-02-11,Козлова Андрон Андреевич,ГК ТНС энерго,7573442717,Холдинг,8 952 694 9588,spartak2001@zao.com,Михеева Евфросиния Федоровна,8 952 694 9588,Самсон Матвеевич Веселов,https://ao.biz,spartak2001@zao.com,Получала субсидию,Да,Москва,Нет,Нет,Малое,Да,Стабильный рост выручки и численности персонала,615168,710924,641641,672095,608859,625118,644300,38224,59113,77389,42103,55571,87283,78977,31,32,27,25,30,25,29,35,31,27,31,29,22,26,683712,691401,765103,643023,771485,698747,708967,320,337,317,338,296,350,313,36366,37642,34086,40172,34598,36229,34855,80105,105462,72182,53106,73964,86687,84218
30,7381725407,ООО «ПосвятитьПром»,Общество с ограниченной ответственностью «ПосвятитьПром»»,В процессе ликвидации,Заморожена,В реестре,2020-04-22,"ст. Нефтегорск (Самар.), наб. Западная, д. 2, 747338","ст. Нефтегорск (Самар.), наб. Западная, д. 2, 747338","г. Энгельс, пер. Ставропольский, д. 90 стр. 13, 657120",55.712701,37.574619,Химическая промышленность,Комплектующие,Переработка,Транспортировка,Нет,10.51,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ПосвятитьПром» — промышленное предприятие, действующее с 2023 года.",Крупное,Среднее,Крупное,Крупное,Малое,Малое,2023-06-26,Коновалов Родион Алексеевна,Бобылева Инкорпорэйтед,8047347877,Филиал,+74375758441,julian73@ip.com,Савелий Харлампович Кулагин,+74375758441,Силин Константин Захарьевич,https://zao.edu,julian73@ip.com,Получала грант,Да,Другой регион,Нет,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,2773939,3040164,2739986,2716029,2956664,3235733,2966467,400271,376129,187248,308772,380204,432028,241527,122,133,113,132,141,131,127,141,133,150,149,153,139,128,2776571,2825350,2347188,2449109,2403845,2557700,2648362,1288,1363,1305,1267,1425,1463,1533,131195,135371,129049,133433,134867,137645,116374,214495,248011,285008,323102,144813,286341,159283
31,6009398024,ООО «СкрытыйПром»,Общество с ограниченной ответственностью «СкрытыйПром»»,Ликвидирована,Заморожена,В реестре,2019-06-30,"с. Урус-Мартан, пр. Элеваторный, д. 5/4 стр. 852, 205493","с. Урус-Мартан, пр. Элеваторный, д. 5/4 стр. 852, 205493","д. Мценск, пр. Кубанский, д. 82, 304637",55.687772,37.67507,Металлургия,Комплектующие,Переработка,Сервис,Нет,28.41,Производство промышленной продукции,25.62,Производство оборудования,"ООО «СкрытыйПром» — промышленное предприятие, действующее с 2008 года.",Среднее,Малое,Среднее,Среднее,Крупное,Крупное,2008-08-26,Веселова Аристарх Святославовна,ИП «Елисеев-Пономарева»,8861351706,Холдинг,+7 (067) 240-04-99,nonna_2019@ao.edu,Кузнецова Иванна Михайловна,+7 (067) 240-04-99,Семенова Варвара Рубеновна,https://ooo.com,nonna_2019@ao.edu,Не получала,Да,Другой регион,Нет,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,4616017,4303788,4102485,3865712,4198989,3962287,4071804,449957,458092,536222,241713,366539,441671,457036,243,230,218,203,223,198,167,206,224,251,245,222,247,233,4373912,4793465,4209713,4748635,4159382,4450744,4177860,2391,2454,2263,1897,2119,1970,2014,235607,248938,223050,249474,193211,230258,244858,353119,221755,425862,563767,630425,254216,482778
32,5449848690,ООО «ЛегкоПром»,Общество с ограниченной ответственностью «ЛегкоПром»»,Действует,Активна,Не в реестре,2024-02-06,"г. Фатеж, ул. З.Космодемьянской, д. 99, 258713","г. Фатеж, ул. З.Космодемьянской, д. 99, 258713","д. Светлогорск (Калин.), пр. Шахтерский, д. 8/1, 406403",55.743349,37.678662,Металлургия,Сборка оборудования,Логистика,Сервис,Нет,10.51,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ЛегкоПром» — промышленное предприятие, действующее с 2007 года.",Крупное,Малое,Крупное,Малое,Малое,Крупное,2007-10-15,Филиппов Онуфрий Леоновна,Куликов Инк,4947836984,Холдинг,8 (279) 568-78-33,zoja14@zao.com,Арсений Ануфриевич Колобов,8 (279) 568-78-33,Олимпиада Антоновна Дмитриева,https://bespalova.edu,zoja14@zao.com,Получала грант,Нет,Подмосковье,Нет,Да,Малое,Нет,Стабильный рост выручки и численности персонала,105405,102104,104057,82955,91774,104661,113492,11720,11708,17360,15445,9073,19556,16881,5,5,5,4,4,4,4,5,5,4,5,4,5,4,94740,111552,115323,122321,114109,122440,127339,54,47,48,48,50,43,39,4854,5733,4632,4379,4166,4549,4396,7759,8859,8582,9961,7135,13537,17347
33,2635881694,ООО «ГоловнойПром»,Общество с ограниченной ответственностью «ГоловнойПром»»,Ликвидирована,Активна,В реестре,2020-01-18,"клх Урюпинск, пер. Воровского, д. 83 к. 3, 310690","клх Урюпинск, пер. Воровского, д. 83 к. 3, 310690","г. Шадринск, пр. Сосновый, д. 70, 383028",55.73995,37.6911,Металлургия,Сборка оборудования,Логистика,Ремонт деталей,Нет,10.51,Производство промышленной продукции,20.13,Производство оборудования,"ООО «ГоловнойПром» — промышленное предприятие, действующее с 2005 года.",Среднее,Малое,Малое,Крупное,Среднее,Крупное,2005-10-10,Денисов Татьяна Венедиктович,АО «Лапина-Гордеева»,3965860354,Дочерняя,8 (251) 286-8230,ysamsonov@rao.edu,Филиппова Ульяна Эльдаровна,8 (251) 286-8230,Лидия Егоровна Антонова,https://nmzhk.biz,ysamsonov@rao.edu,Не получала,Нет,Подмосковье,Да,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,1408298,1320108,1255993,1288460,1257944,1183981,1205124,179348,144255,196183,126184,176416,174655,86704,66,63,70,67,80,83,92,67,57,56,65,57,60,50,1467135,1244680,1572271,1409970,1339498,1397704,1404621,682,635,665,526,649,704,648,63166,78105,76881,78851,86295,81419,85026,127110,133800,83662,159358,107648,138776,65308
34,3564111605,ООО «СброситьПром»,Общество с ограниченной ответственностью «СброситьПром»»,Ликвидирована,Активна,Не в реестре,2021-10-29,"ст. Кимры, ш. Среднее, д. 1/9 к. 7/9, 634351","ст. Кимры, ш. Среднее, д. 1/9 к. 7/9, 634351","д. Калевала, наб. Репина, д. 913, 735403",55.74633,37.639886,Машиностроение,Комплектующие,Логистика,Транспортировка,Есть,25.62,Производство промышленной продукции,13.2,Производство оборудования,"ООО «СброситьПром» — промышленное предприятие, действующее с 2011 года.",Малое,Малое,Среднее,Среднее,Крупное,Среднее,2011-04-05,Дмитриев Вера Александровна,ООО «Фролов Михеева»,5635170508,Холдинг,8 (056) 856-62-46,harlampi_2020@ooo.net,тов. Фомичева Зинаида Юльевна,8 (056) 856-62-46,Афанасьева Жанна Тимуровна,https://npo.ru,harlampi_2020@ooo.net,Не получала,Нет,Подмосковье,Нет,Нет,Малое,Да,Стабильный рост выручки и численности персонала,4420131,4037247,4676631,4725334,4285725,4101683,4148016,696583,585471,215615,346640,432043,535566,455832,236,223,197,192,193,202,167,217,225,254,251,261,230,212,4542192,4028669,4491458,4914040,5471212,5159007,4257770,2239,1928,2290,2233,2189,1727,1998,252411,216137,233564,218226,230227,271896,294229,524296,394302,271281,391497,287991,439319,434541
35,7225057758,ООО «ГрудьПром»,Общество с ограниченной ответственностью «ГрудьПром»»,Ликвидирована,Проверка,В реестре,2024-02-16,"п. Каменск-Уральский, алл. Воровского, д. 97 к. 5, 772522","п. Каменск-Уральский, алл. Воровского, д. 97 к. 5, 772522","д. Бийск, ул. Линейная, д. 306 стр. 31, 387509",55.722767,37.551008,Химическая промышленность,Комплектующие,Переработка,Транспортировка,Есть,28.41,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ГрудьПром» — промышленное предприятие, действующее с 2023 года.",Среднее,Малое,Крупное,Среднее,Малое,Крупное,2023-10-30,Игнатьева Кондрат Тарасович,Трест КХМ,2664260498,Холдинг,8 355 609 3204,solomon_77@oao.info,Соколова Агата Тарасовна,8 355 609 3204,Попова Акулина Станиславовна,https://zao.biz,solomon_77@oao.info,Получала субсидию,Нет,Другой регион,Да,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,4851024,4131168,4118855,3815571,3475796,3746802,3071517,644673,546129,352970,594774,507253,451813,571263,254,229,183,209,187,196,189,221,238,226,238,239,264,270,4876545,4227197,4032778,4411236,3921731,4410393,4107676,2370,2461,2875,3023,3082,3387,3220,225601,232747,226990,183149,237392,188013,216621,676640,278730,810214,727644,445670,432446,334438
36,4942272347,ООО «ТрястиПром»,Общество с ограниченной ответственностью «ТрястиПром»»,В процессе ликвидации,Проверка,Не в реестре,2022-06-29,"к. Валдай, ш. Речное, д. 766 стр. 1/1, 176591","к. Валдай, ш. Речное, д. 766 стр. 1/1, 176591","п. Хасавюрт, наб. Шоссейная, д. 148 к. 15, 926142",55.729787,37.675428,Текстильная промышленность,Производство деталей,Логистика,Сервис,Есть,16.1,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ТрястиПром» — промышленное предприятие, действующее с 2020 года.",Среднее,Крупное,Малое,Малое,Среднее,Крупное,2020-08-14,Хохлов Терентий Ермилович,Трофимов Лтд,4350598093,Филиал,+7 (398) 454-6156,lkalashnikova@rao.com,Мария Тимофеевна Суханова,+7 (398) 454-6156,Вышеслав Артурович Овчинников,https://zao.org,lkalashnikova@rao.com,Получала грант,Нет,Подмосковье,Да,Да,Микро,Нет,Стабильный рост выручки и численности персонала,687041,657376,662426,659511,648195,637328,773334,75588,42990,99585,45796,80343,50555,53879,34,35,35,33,30,29,27,35,44,45,41,38,38,33,687148,676985,760760,647864,718098,565221,591413,402,423,370,368,424,345,321,38704,35911,33165,35638,34252,28922,30662,116231,49358,83491,76413,85812,73591,82789
37,6806422489,ООО «МягкийПром»,Общество с ограниченной ответственностью «МягкийПром»»,Действует,Заморожена,Не в реестре,2021-01-23,"ст. Котельнич, ул. Нижняя, д. 3 стр. 3/7, 511047","ст. Котельнич, ул. Нижняя, д. 3 стр. 3/7, 511047","п. Верхний Баскунчак, пр. Рылеева, д. 2/1, 581995",55.750202,37.685532,Текстильная промышленность,Производство деталей,Переработка,Транспортировка,Нет,28.41,Производство промышленной продукции,16.1,Производство оборудования,"ООО «МягкийПром» — промышленное предприятие, действующее с 2017 года.",Среднее,Крупное,Крупное,Среднее,Среднее,Малое,2017-12-07,Лыткина Милан Антипович,"РАО «Логинов, Шарапов и Носов»",1589530134,Холдинг,8 047 735 8662,aleksandrovernest@teterina.info,Тамара Ефимовна Дроздова,8 047 735 8662,Зимина Марина Викторовна,https://npo.edu,aleksandrovernest@teterina.info,Получала грант,Да,Подмосковье,Да,Да,Крупное,Нет,Стабильный рост выручки и численности персонала,2717767,2417454,2283293,2605102,2526117,2660026,2614759,353309,270884,296397,187559,345729,403828,389049,124,114,118,120,110,112,119,142,134,141,143,135,127,122,2388230,3007462,2644191,2626210,2852351,3081084,3143573,1405,1184,1382,1443,1543,1294,1511,120013,135638,141027,141742,158989,152842,154735,209617,257343,322252,296218,198032,253614,258384
38,9085484017,ООО «МгновениеПром»,Общество с ограниченной ответственностью «МгновениеПром»»,Ликвидирована,Заморожена,В реестре,2020-10-09,"к. Руза, пер. Геологический, д. 6 стр. 67, 654793","к. Руза, пер. Геологический, д. 6 стр. 67, 654793","ст. Палана, ул. Крымская, д. 18 к. 4/8, 167243",55.736202,37.684708,Машиностроение,Комплектующие,Переработка,Ремонт деталей,Есть,28.41,Производство промышленной продукции,13.2,Производство оборудования,"ООО «МгновениеПром» — промышленное предприятие, действующее с 2017 года.",Среднее,Малое,Среднее,Крупное,Малое,Малое,2017-12-05,Беляков Ладислав Евстигнеевич,ООО «Тимофеев-Панова»,5079161918,Филиал,8 (993) 712-40-65,emoiseev@ip.com,Наркис Артёмович Третьяков,8 (993) 712-40-65,тов. Логинова Милица Тарасовна,https://ao.biz,emoiseev@ip.com,Получала субсидию,Нет,Москва,Да,Нет,Малое,Да,Стабильный рост выручки и численности персонала,2053873,2224330,1846420,1854685,1646988,1502502,1567381,179026,197819,214875,227458,224177,242551,274685,103,101,82,93,83,87,86,118,124,121,112,113,113,127,2176731,2502400,2362770,2140524,2119450,2054041,2166685,1042,1038,1187,1054,1204,1251,1225,109273,112995,115065,132438,130744,135236,124644,154454,109511,327443,353542,225388,184230,192479
39,1026333597,ООО «ИнвалидПром»,Общество с ограниченной ответственностью «ИнвалидПром»»,Ликвидирована,Проверка,В реестре,2021-11-15,"с. Озеры, пр. Громова, д. 15 к. 2/5, 112545","с. Озеры, пр. Громова, д. 15 к. 2/5, 112545","к. Сортавала, пр. Докучаева, д. 2, 010512",55.814951,37.704589,Текстильная промышленность,Производство деталей,Ремонт,Транспортировка,Нет,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ИнвалидПром» — промышленное предприятие, действующее с 2013 года.",Среднее,Крупное,Малое,Крупное,Среднее,Крупное,2013-10-21,Беспалова Иванна Федосеевич,Азбука вкуса,7988772877,Холдинг,8 290 965 6101,cheslav_2013@rao.com,Жданова Галина Леоновна,8 290 965 6101,Кондратьева Октябрина Евгеньевна,https://bogdanov.org,cheslav_2013@rao.com,Получала грант,Нет,Подмосковье,Да,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,2824581,2994376,3175861,2718284,2481933,2763923,2604463,270845,349001,206127,169030,235472,178788,118560,144,155,146,131,154,150,158,133,169,143,132,152,142,127,2697507,2567686,2721022,2720729,2562191,2193216,2109517,1575,1481,1438,1348,1360,1274,1190,140746,147424,150715,127506,131548,123089,127868,156029,231637,402191,218392,318927,423400,204101
40,8587031776,ООО «ВоенныйПром»,Общество с ограниченной ответственностью «ВоенныйПром»»,Действует,Активна,Не в реестре,2023-09-20,"к. Сургут (Хант.), бул. Комарова, д. 7/2 стр. 6, 924991","к. Сургут (Хант.), бул. Комарова, д. 7/2 стр. 6, 924991","г. Коломна, ул. Казанская, д. 3 к. 7/3, 627828",55.810224,37.627371,Пищевая промышленность,Сборка оборудования,Логистика,Ремонт деталей,Нет,20.13,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ВоенныйПром» — промышленное предприятие, действующее с 2011 года.",Среднее,Крупное,Крупное,Среднее,Крупное,Среднее,2011-09-16,Корнилов Агафья Гаврилович,НПО «Игнатьев Матвеев»,7350762338,Дочерняя,+7 334 191 8255,zinovevaemilija@npo.info,Одинцов Радим Антипович,+7 334 191 8255,Агафья Рудольфовна Кузьмина,https://ooo.info,zinovevaemilija@npo.info,Получала грант,Нет,Другой регион,Да,Да,Крупное,Да,Стабильный рост выручки и численности персонала,2010081,1897070,2247976,2262908,2245001,1904459,2194916,153003,269044,175315,245092,135839,227448,260431,111,109,114,99,95,119,108,106,104,109,99,94,105,108,2144748,1925904,1693396,1773913,1983423,1854770,2118091,991,1047,1124,1034,1096,1109,958,98129,104786,104358,99215,90496,95480,110727,280180,219887,297522,182639,198503,143585,212137
41,6451389154,ООО «ВыбиратьПром»,Общество с ограниченной ответственностью «ВыбиратьПром»»,Ликвидирована,Активна,В реестре,2018-12-31,"к. Урус-Мартан, пер. Дачный, д. 9/4 к. 2/4, 074517","к. Урус-Мартан, пер. Дачный, д. 9/4 к. 2/4, 074517","ст. Чехов, наб. Панфилова, д. 39 стр. 13, 849825",55.756291,37.439214,Деревообработка,Комплектующие,Логистика,Сервис,Нет,28.41,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ВыбиратьПром» — промышленное предприятие, действующее с 2023 года.",Среднее,Малое,Крупное,Крупное,Малое,Малое,2023-09-15,Лапина Нестор Артемовна,Омега Групп,6495068652,Холдинг,+7 (404) 384-2797,pavel2018@npo.ru,Карл Якубович Мясников,+7 (404) 384-2797,Белова Вера Наумовна,https://suhanova.info,pavel2018@npo.ru,Не получала,Да,Москва,Нет,Да,Среднее,Да,Стабильный рост выручки и численности персонала,5388791,5118686,4357474,4383240,4296394,4723396,3902404,711649,501921,588602,653357,274934,520828,331158,269,216,269,235,212,206,223,243,252,300,262,269,271,310,4662413,5393108,5044088,5024020,4020568,4316521,4447908,2693,2429,2716,2453,2765,2501,2418,256816,232876,246470,245765,265007,260156,233703,541955,681314,751854,581515,230946,252742,619382
